名称,简介,药性,功效,适应症
地骨皮,又名杞根、地骨、地辅、地节、枸杞根、枸杞根皮等。,地骨皮味甘，性寒，无毒。归肺、肾经。,清虚热，泻肺火，高血压，扁平疣，掌跖疣，泛发性湿疹，牙髓炎疼痛，疟疾，骨蒸肌热，热劳，吐血，下血，血淋，风虫牙痛，耳聋有脓水不止，痔疮，外阴肿痛，阴道炎，肾虚，腰痛，小便出血，口舌生疮，男子下疳，补肾壮阳，足趾鸡眼，中风，水肿，脚气等。,地骨皮常用于吐血、衄血等症，可与白茅根、侧柏叶等配用。对阴虚发热、低热不退等症，常与青蒿、鳖甲、白薇等药配用…
银柴胡,银柴胡为石科植物银柴胡的根，又名白根子、土参、银夏柴胡。本品呈类圆柱形，偶有分枝，长15～40cm，直径0.5～2.5cm。表面浅棕黄色至浅棕色，有扭曲的纵皱纹及支根痕，多具孔穴状或盘状凹陷，习称“砂眼”，从砂眼处折断可见棕色裂隙中有细砂散出，根头部略膨大，有密集的呈疣状突起的芽苞、茎或根茎的残基，习称“珍珠盘”。清热药，清虚热药 功效主治清热凉血。治虚劳骨蒸，阴虚久疟，小儿瘠热羸瘦。,外感风寒，血虚无热者忌用…,,
胡黄连 ,双子叶植物玄参科胡黄连的干燥根茎，别名假黄连、割孤露泽、胡连、西藏胡黄连。本品呈圆柱形，略弯曲，偶有分枝，长3～12cm，直径0.3～1cm。表面灰棕色至暗棕色，粗糙。气微，味极苦。清湿热，除骨蒸，消疳热。用于湿热泻痢，黄疸，痔疾，骨蒸潮热，小儿疳热。胡黄连属为单种属植物，特产喜马拉雅山和横断山地区，是玄参科婆婆纳族的最原始类群之一，具有一定的科学价值…,,,
金果榄,防己科植物青牛胆的块根，别名山慈菇、金牛胆、地苦胆、金狮藤。根不规则长圆形、陀螺形或不规则圆形，大小悬殊，长3～15cm，直径2～9cm。表面棕黄色或淡褐色，有深而密的纵横皱纹，质坚实，横切面黄白色，粉性，皮部甚狭，形成层环隐约可见，木部外缘可见少数导管束，呈放射状。味极苦。清热解毒，利咽，止痛。用于咽喉肿痛，痈疽疔毒，泄泻，痢疾，脘腹热痛。生于疏林、灌丛中或石隙间。主产四川、湖南、广西。秋、冬季采挖，去须根，洗净， 晒干 …,,,
败酱草,别名黄花败酱、龙芽败酱、黄花龙牙。,辛、苦，凉。入胃、大肠、肝经。,清热解毒，消痈排脓，活血行瘀。临床上常与红藤、苡仁、桃仁、丹皮、大黄等配伍，用治肠痈；与鱼腥草、桔梗、苡仁、冬瓜子、芦根等配伍，用治肺痈；与银花、连翘等配伍，用治疮痈肿毒，同时用本品鲜草捣烂外敷。配红花、山楂等药，治产后瘀血，腹中刺痛等症。,用于肠痈、肺痈及疮痈肿毒，实热瘀滞所致的胸腹疼痛，产后瘀滞腹痛等症…
射干,本品为鸢尾科植物射干的干燥根茎。春初刚发芽或秋末茎叶枯萎时采挖，除去须根及泥沙，干燥。别名乌扇、扁竹、绞剪草、剪刀草、山蒲扇、野萱花、蝴蝶花,苦，寒。,清热解毒，消痰，利咽。用于热毒痰火郁结，咽喉肿痛，痰涎壅盛，咳嗽气喘。,①抗微生物作用②消炎作用。常和牛蒡子、桔梗、甘草等配合应用，能清热毒、消肿痛。与麻黄、紫菀、款冬等配合应用治咳嗽痰喘。实火及脾虚便溏者不宜。孕妇忌服…
山豆根,本品为豆科植物越南槐Sophora tonkinensis Gapnep的干燥根及根茎。秋季采挖，除去杂质，洗净，干燥。别名广豆根,苦，寒，有毒。,清火，解毒，消肿，止痛。治喉痈，喉风，喉痹，牙龈肿痛，喘满热咳，黄疸，下痢，痔疾，热肿，秃疮，疥癣，蛇、虫、犬咬伤。,山豆根苦降泄热，主要用于咽喉红肿热痛属于实火肺热者。根据实践经验，本品用一般剂量，对胃无刺激性，如剂量过大，易致呕吐，如用至一两，能引起中毒而发生呕吐、腹泻、胸闷、心悸…
马勃,俗称牛屎菇或马蹄包有的地方叫药包子，马屁泡。属担子菌类马勃科。,辛、平，无毒。,"马勃配伍青黛马勃味辛性平，清热解毒、宣肺利咽， 功擅宣散；青黛味苦性寒,清热解毒、凉血止血， 
长于清热。二者合用，共奏清热解毒、利咽消肿止痛之功效，用于治疗咽喉肿痛因热邪火毒所致者。马勃配伍薄荷、牛蒡子、板蓝根马勃能散肺经风热而利咽止痛；薄荷、牛蒡子能疏散风热利咽；板蓝根长于解毒利咽。诸药伍用，有疏散风热、利咽消肿止痛之功效，用于治疗肺经风热所致之咽喉肿痛。",主要用作局部止血药，兼治咽喉痛、失音等…
青果,橄榄、黄榄、白榄,甘、酸，平。归肺、胃经。,青果含蛋白质、脂肪、碳水化合物、膳食纤维、胡萝卜素、视黄醇当量、维生素B1、维生素B2、尼克酸、维生素C、钙、铁、磷、镁、锌、硒等成分。青果味甘酸，性平，具有清热解毒，利咽化痰，生津止渴，开胃降气，除烦醒酒之功效，适应于治咽喉肿痛，咳嗽吐血，菌痢，癫痫，暑热烦渴，肠炎腹泻等病症。,敷面润体；除皱；护发；上、卸妆；润唇；护足；减肥…
锦灯笼,别名挂金灯、金灯、灯笼果、红姑娘、泡泡。,苦，寒。归肺经。,清热解毒，利咽，化痰，利尿。用于咽痛音哑，痰热咳嗽，小便不利，外治天疱疮，湿疹。,锦灯笼为茄科酸浆属多年生宿根草本植物，以果实供食用，成熟果食甜美清香，是营养较丰富的水果蔬菜。浆果富含维生素C，青果味酸或苦，对治疗再生障碍性贫血有一定疗效，清热利尿，外敷可消炎…
苦菊,,,,
黄菊花,玫黄菊花，别名孔雀草，全草可入药，夏、秋季采收。,性平，味苦。,清热利湿，止咳。,咳嗽，痢疾，顿咳，牙痛，风火眼痛、痄腮，乳痛。…
白菊花,又名甘菊、杭菊、杭白菊、茶菊、药菊等。,白菊花味辛、甘、苦，性微寒。归肺、肝经。,风热感冒，发热头痛，咳嗽，清肝泻火，疏肝解郁，益阴明目，目赤肿痛，肝肾不足，目暗昏花，肝阳上亢，头痛眩晕，治疔疮肿毒，美容养颜、补血提神，延缓衰老;降压，预防心绞痛，抗炎强身，眼睛疲劳干涩视力模糊，治疔肿，喉疔，喉癣，皮肤死肌等。,用于治风热感冒，或温病初起，温邪犯肺、发热、头痛、咳嗽，治肝经风热、或肝火上攻致目赤肿痛;能清热平肝，治疔疮肿毒…
兰香子,,味辛，性温。,清理肠胃、降血脂、预防心脑血管疾病、减肥清热、健脾、养胃。,疏风解表，祛风消肿，散瘀止痛，活血通经。用于外感头痛，食胀气滞，胃脘痛。…
金不换,,味苦，性寒。,止咳、止血、抗炎症、对神经系统的作用。,吐血、务血不止、吐血、务血不止、大肠下血、妇女血崩、重度赤眼、虎咬虫伤。…
白英,白英又叫山甜菜、白草、白幕，生于山谷草地或路旁、田边;国内外均有分布。,味甘、苦，性寒。,具有清热解毒、祛风利湿、化瘀、抗癌等作用，,用于治疗黄疸、水肿、淋病、胆囊炎、胆结石、风湿性关节炎等症。…
云芝,云芝又叫杂色云芝、 彩绒革盖菌、杂色云芝，云芝是最具药用价值的真菌之一。,味甘、淡，微寒。,具有健脾利湿、止咳平喘、清热解毒、抗肿瘤的功效。,适用于慢性活动性肝炎、肝硬化、慢性支气管炎、小儿痉挛性支气管炎、咽喉肿痛、多种肿瘤、类风湿性关节炎、白血病等。…
明月草,"明月草，又名白背菜，有清热解毒,止血、凉血等功效。",性寒，味淡。,清热解毒、止血、凉血。,急性结膜炎、小儿高热、心肺积热。…
西青果,,味甜，性平,降血糖、清热解毒、祛痰、生津。,肺炎、咽喉炎、扁桃体发炎、阴虚白喉
天葵子,天葵子别名紫背天葵子，生海拔100-1050米间的疏林下、路旁或山谷地的较阴处。,性寒，味甘。,功效清热，解毒，消肿，散结，利尿。,痈肿，瘰疬，疔疮，淋浊，带下，肺虚咳嗽，疝气，癫痫，小儿惊风。…
